Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Василенко,Ярема,Панасович,Чоловіча,1988-06-17,Гірничий інженер,Черкаси,"парк Сухолиманна, буд. 7, Волноваха, 45276",+380 55 630-24-31,abaidak@example.com
Петлюра,Іван,Макарович,Чоловіча,2000-06-11,Зоолог,Селидове,"площа Ясна, буд. 67, Христинівка, 63570",+380 13 808 27 69,viaremko@example.org
Яковенко,Едуард,Богодарович,Чоловіча,2022-02-16,Журналіст,Кам'янець-Подільський,"проспект Василя Кандинського, буд. 5, Новоазовськ, 52815",+380 43 327-25-06,artem16@example.com
Верхола,Михайлина,Назарівна,Жіноча,1986-07-31,Паблік рилейшнз,Тлумач,"площа Армійська, буд. 004 кв. 680, Березань , 68176",+380 27 937-89-94,pylyp20@example.org
Дацюк,Федір,Євгенійович,Чоловіча,1974-03-19,Астроном,Лиман ,"вулиця Красних Зорь, буд. 6 кв. 6, Ворожба, 61847",+380 02 839-92-81,jvitruk@example.com
Юрчишина,Камілла,Францівна,Жіноча,2020-03-30,Геолог,Шумськ,"вулиця Виноградний тупик, буд. 53, Ізюм, 17670",517 60 91,demydlutsenko@example.com
Зінчук,Аліна,Ігнатівна,Жіноча,2023-10-23,М'ясник,Покров,"шосе Балтський 8-й, буд. 6, Підгородне, 65019",082 899-90-62,anastasiiamatiash@example.org
Жарко,Ярослава,Феофанівна,Жіноча,1976-04-10,Петрограф,Ворожба,"парк Чорноморка, буд. 433, Слов'янськ, 16245",+380 (83) 643-57-96,tetianabatih@example.net
Деркач,Тереза,Вікторівна,Жіноча,1999-04-28,Кур'єр,Белз,"узвіз Марсельська, буд. 22, Добромиль, 89104",022 581-02-05,arsen81@example.net
Демʼянюк,Демʼян,Богуславович,Чоловіча,2002-04-03,Детектив,Нетішин,"вулиця Івахненка Петра, буд. 26 кв. 07, Ладижин, 62470",+380 (22) 043-17-66,hennadii40@example.net
Баштан,Марія,Тарасівна,Жіноча,2012-05-10,Головний меркшейдер,Кам'янське,"узвіз Квітковий, буд. 37 кв. 89, Боково-Хрустальне, 43916",468-00-01,oleh77@example.org
Засенко,Леонтій,Федорович,Чоловіча,1983-08-07,Бухгалтер,Гірське,"проспект Восьмого Березня Лінія 2-га, буд. 211 кв. 07, Щастя , 77302",055 828-28-72,priskacharnysh@example.com
Акуленко,Олесь,Трохимович,Чоловіча,2005-03-31,Акушер,Скадовськ,"шосе Долинська, буд. 17 кв. 92, Болехів, 63917",+380 29 867-30-41,dubenkooryna@example.com
Абрамчук,Єва,Антонівна,Жіноча,2012-07-04,Піаніст,Рогатин,"вулиця Торгова, буд. 1, Вишневе , 76432",003 990-08-05,bohuslava71@example.org
Сімашкевич,Гліб,Ростиславович,Чоловіча,2017-06-04,Модельєр,Мала Виска,"шосе Скрипковий, буд. 99, Суходільськ, 84477",025 630-65-06,ababko@example.org
Скирда,Емілія,Васильівна,Жіноча,2010-01-27,Бібліотекар,Сновськ,"набережна Баштанна, буд. 132 кв. 5, Луцьк, 96657",071 724 93 30,ylytvynenko@example.org
Негода,Адам,Сергійович,Чоловіча,2019-01-07,Модель,Борзна,"парк Західний 2-й, буд. 66 кв. 938, Обухів, 61514",001 025 83 92,rbairak@example.org
Засуха,Едита,Павлівна,Жіноча,1974-04-11,Доцент,Кривий Ріг,"парк Розкидайлівська, буд. 3, Березне, 27065",+380 (69) 360-51-05,svitlana53@example.net
Авдєєнко,Данна,Іванівна,Жіноча,1989-01-19,Локсмайстер,Вільнянськ,"вулиця Нафтовиків 1-й, буд. 68 кв. 3, Монастирище, 03246",982-94-44,iukhymenkodmytro@example.com
Верменич,Олена,Прохорівна,Жіноча,2022-06-08,Клоун,Звенигородка,"провулок Український 3-й, буд. 19 кв. 179, Енергодар, 60221",+380 42 616-42-89,davyd44@example.net
Сіробаба,Остап,Яремович,Чоловіча,2003-10-29,Математик,Гайворон,"площа Виноградний тупик, буд. 6, Кадіївка, 87073",415-78-78,uchumak@example.net
Зінкевич,Галина,Симонівна,Жіноча,2010-10-31,Секретар,Сорокине,"провулок Гладкова, буд. 02, Корець, 42571",+380 85 627-32-54,chmildemyd@example.com
Овчаренко,Лесь,Петрович,Чоловіча,1991-03-04,Гінеколог,Селидове,"парк Осипова, буд. 058, Копичинці, 27063",+380 86 996-34-41,chumakliza@example.net
Прокопович,Аркадій,Варфоломійович,Чоловіча,2017-06-12,Художник,Берестечко,"сквер Дніпровська, буд. 797 кв. 2, Тульчин, 73459",009 314-93-24,hanna70@example.com
Сагаль,Лілія,Юстимівна,Жіноча,1994-12-20,Шериф,Звенигородка,"сквер Київське, буд. 5 кв. 93, Любомль, 49983",+380 34 688-10-85,ovsiienkoiaroslav@example.net
Саченко,Камілла,Аркадіївна,Жіноча,2023-07-29,Мінералог,Суходільськ,"проспект Генуезька, буд. 72, Кам'янське, 44731",+380 28 591-95-90,spas26@example.com
Гоголь,Ігор,Амвросійович,Чоловіча,2009-03-28,Петрограф,Новоукраїнка,"узвіз Чорноморський 3-й, буд. 5 кв. 90, Залізне, 15446",122 29 13,holykanastasiia@example.org
Луценко,Аарон,Тимофійович,Чоловіча,1991-04-19,Дипломат,Хуст,"набережна Дубовий гай, буд. 34, Бахмут, 89014",+380 13 646 75 07,panassych@example.net
Лазаренко,Дан,Глібович,Чоловіча,1979-04-19,Сценарист,Білогірськ,"шосе Травневий 5-й, буд. 12, Коростень, 99188",096 686-41-49,faleksiichuk@example.org
Алексюк,Михайлина,Максимівна,Жіноча,1972-04-16,Складальник,Славутич,"шосе Скворцова, буд. 3, Ізюм, 88313",331-53-36,serhiivelychko@example.com
Засенко,Альбіна,Мирославівна,Жіноча,1997-05-12,Маркетолог,Трускавець,"провулок Новоукраїнський, буд. 4, Ізмаїл, 48335",085 841 37 38,mykolai15@example.net
Усик,Дан,Михайлович,Чоловіча,1980-10-04,Каскадер,Валки ,"сквер Квітковий, буд. 1 кв. 799, Трускавець, 69320",+380 72 422 68 84,alevtyn94@example.net
Макаренко,Роксолана,Андріївна,Жіноча,2018-06-17,Хімік,Новодружеськ,"узвіз Каховський, буд. 7, Хмельницький, 79688",+380 32 564-25-60,galaganmyroslav@example.com
Забашта,Данило,Микитович,Чоловіча,2015-10-23,Режисер,Первомайськ,"вулиця Сімферопольська, буд. 4, Нововолинськ, 81924",293-45-04,zlatoslavahuzenko@example.org
Юрченко,Охрім,Костянтинович,Чоловіча,2021-01-11,Підприємець,Первомайський ,"вулиця Паркова, буд. 64 кв. 9, Ананьїв, 59631",+380 66 054 23 33,solomiia44@example.org
Гречко,Соломія,Стефанівна,Жіноча,2013-02-16,Електротехнік,Сокиряни,"узвіз Магнітогорський 3-й, буд. 5, Маріуполь, 80360",+380 44 274-71-78,zorian89@example.com
Малишко,Лесь,Богодарович,Чоловіча,1986-07-28,Дипломат,Моспине,"вулиця Кісельова Ігоря, буд. 44, Малин, 95633",+380 28 231 42 61,kbakumenko@example.org
Товстоліс,Лукʼян,Георгійович,Чоловіча,1986-01-08,Хореограф,Борзна,"площа Дюківська, буд. 86, Бердичів, 06933",+380 62 125 00 24,varfolomii42@example.net
Ажажа,Маруся,Степанівна,Жіноча,2008-01-19,Психолог,Привілля,"провулок Басейна, буд. 57 кв. 429, Берислав, 38000",456-62-15,orynataran@example.com
Самойленко,Віолетта,Геннадіївна,Жіноча,1998-06-24,М'ясник,Червоносів,"шосе Венгера, буд. 060, Сватове, 05636",074 560-67-61,amvrosiiievdokymenko@example.com
Даценко,Тимофій,Вікторович,Чоловіча,1984-08-04,Бізнесмен,Дрогобич,"вулиця Французький, буд. 3 кв. 5, Буча, 04296",050 072 24 05,diarema@example.com
Даниленко,Стефан,Сергійович,Чоловіча,1989-08-23,Промисловець,Остер ,"шосе Немировича-Данченка, буд. 837, Зоринськ, 29035",081 407 37 54,pavloiashchenko@example.net
Засядько,Борис,Олександрович,Чоловіча,1987-08-05,Швачка,Мирноград,"узвіз Ползунова 2-й, буд. 177 кв. 442, Косів, 08047",227 95 83,iarynadashkevych@example.net
Титаренко,Леон,Георгійович,Чоловіча,1988-03-02,Кінорежисер,Березне,"провулок Остапа Вишні, буд. 7 кв. 73, Хорол , 98512",788 10 50,myronzhaivoron@example.org
Негода,Галина,Теодорівна,Жіноча,1985-07-30,Агроном,Теплодар,"провулок Спартаківська, буд. 5, Торецьк, 95272",+380 57 316 13 28,heorhiiliashko@example.net
Тимчук,Федір,Гаврилович,Чоловіча,1980-05-09,Локсмайстер,Здолбунів,"парк Тупиковий 2-й, буд. 80, Путивль, 86857",+380 92 164 95 27,iaroslava33@example.net
Стець,Зиновій,Романович,Чоловіча,2011-06-13,Музикознавець,Бібрка,"сквер Кипарисний 2-й, буд. 592 кв. 94, Покровськ, 32752",+380 44 681-96-10,zlahoda@example.com
Оберемко,Трохим,Захарович,Чоловіча,2009-06-15,Прокурор,Помічна,"шосе Просвіти, буд. 36, Світловодськ, 77295",+380 24 882-18-40,havryloishchak@example.net
Чаленко,Орися,Мирославівна,Жіноча,1986-03-04,Гірничий інженер,Городенка,"сквер Леваневського, буд. 56, Козятин, 40403",948-30-67,rostyslav42@example.net
Іващенко,Амалія,Тарасівна,Жіноча,1978-09-07,Піаніст,Біляївка,"сквер Василя Кандинського 1-й, буд. 48 кв. 849, Ялта, 33649",+380 25 646-87-00,iefremzhurba@example.org
Базавлученко,Пантелеймон,Михайлович,Чоловіча,1991-01-09,Адвокат,Носівка,"парк Розкидайлівська, буд. 726, Жданівка, 21828",+380 (71) 567-60-18,gteslia@example.com
Овчаренко,Артем,Єлисейович,Чоловіча,2004-01-15,Гінеколог,Золочів,"узвіз Дюківська, буд. 99, Сніжне, 37863",+380 34 306-11-51,jkorbut@example.net
Короленко,Владислав,Адамович,Чоловіча,1996-09-05,Стропальник,Кодима,"площа 14-та Суворовська, буд. 491 кв. 80, Яворів, 37988",003 164-90-83,gskoryk@example.net
Єрченко,Ярина,Яремівна,Жіноча,2003-03-01,Астроном,Ужгород,"вулиця Лютневий 2-й, буд. 85, Переяслав, 79747",+380 (27) 602-74-35,illia52@example.com
Демʼяненко,Мілена,Феофанівна,Жіноча,1991-11-22,Дипломат,Вовчанськ,"сквер Степна, буд. 8, Торецьк, 55198",913-97-57,okseniiaizhak@example.net
Гузенко,Сніжана,Миколаївна,Жіноча,2006-11-02,Парфюмер,Монастирище,"площа Марата 2-й, буд. 41 кв. 22, Сімферополь, 05854",004-97-34,karparoman@example.net
Конопля,Лукʼян,Степанович,Чоловіча,2013-08-04,Будник,Івано-Франківськ,"проспект Лінія 36-та, буд. 8, Бердянськ, 21286",+380 75 396-05-21,ptereshchenko@example.com
Ґалаґан,Зорян,Вадимович,Чоловіча,2006-05-13,Вчитель,Армянськ,"набережна Колонічна, буд. 55 кв. 474, Петрово-Красносілля, 63106",058 469 53 74,lazarenkoleon@example.com
Ребрик,Лілія,Аврелійовна,Жіноча,1978-06-08,Агроном,Алупка,"вулиця Проїзний 2-й, буд. 822, Волноваха, 10065",046 838-78-18,ihnatchernenko@example.org
Бабійчук,Олена,Ярославівна,Жіноча,2007-09-12,Різноробочий,Апостолове,"сквер Гвоздична, буд. 61 кв. 6, Кагарлик, 18123",007 925 41 27,olehandrusenko@example.org
Абрагамовський,Леон,Микитович,Чоловіча,2019-06-30,Архітектор,Гайворон,"парк Середньофонтанська, буд. 0 кв. 925, Деражня, 47835",736 10 47,gerusanita@example.net
Журба,Геннадій,Сергійович,Чоловіча,2012-02-29,Кінолог,Козятин,"провулок Матроська Слобідка, буд. 87, Буринь, 11768",+380 87 623-59-50,ivansirobaba@example.com
Тарасенко,Олесь,Єфремович,Чоловіча,2022-06-04,Музикант,Умань,"провулок Соляний 1-й, буд. 262, Голубівка, 43781",099 431 95 28,eiaremenko@example.org
Гавришкевич,Ярина,Бориславівна,Жіноча,1977-10-09,Вчитель,Гірське,"парк Обсерваторний, буд. 284 кв. 798, Прип'ять , 14618",035 117 21 64,iryna35@example.org
Вівчаренко,Миколай,Климентович,Чоловіча,1988-10-01,Вчитель,Старий Крим,"проспект 8-ма Суворовська, буд. 802 кв. 217, Андрушівка, 91309",+380 (14) 266-91-46,panteleimonzaika@example.net
Симоненко,Устим,Альбертович,Чоловіча,1996-02-11,Правник,Тростянець,"сквер Нерубайська, буд. 7 кв. 687, Стебник, 74638",022 567 51 45,zhaivoronsviatoslav@example.org
Кальченко,Дарина,Володимирівна,Жіноча,2004-04-13,Стропальник,Збараж,"провулок Заводська 5-та, буд. 9 кв. 0, Умань, 40414",+380 47 710 60 35,ruslan99@example.org
Дубенко,Святослав,Борисович,Чоловіча,2017-02-17,Вчитель,Петрово-Красносілля,"вулиця Остапа Вишні, буд. 00, Покров, 81526",+380 18 756-16-01,havrylenkosolomon@example.org
Бабариченко,Станіслав,Федорович,Чоловіча,1998-05-08,Стиліст,Баранівка,"набережна Керченський 1-й, буд. 138 кв. 218, Угнів, 61174",+380 (56) 937-12-79,iarynadeisun@example.net
Гаєвський,Іван,Миколайович,Чоловіча,1971-10-07,Музикознавець,Чорноморськ,"проспект Тимірязєва 3-й, буд. 26 кв. 53, Гола Пристань, 59840",200 69 35,leon03@example.net
Гуцуляк,Розалія,Валентинівна,Жіноча,2022-07-18,Кур'єр,Донецьк,"площа 14-та Лінія 6-й ст. Люстдорфської дороги, буд. 094 кв. 210, Дніпрорудне, 01766",083 480 98 06,okhrim88@example.com
Лазаренко,Олександр,Андрійович,Чоловіча,1999-01-25,Економіст,Сніжне,"проспект Балтський 7-й, буд. 17 кв. 146, Молодогвардійськ, 20986",+380 (83) 652-05-55,iarkhymovych@example.com
Бабак,Оксана,Лесівна,Жіноча,2005-04-05,Фермер,Тисмениця,"узвіз Восьмого березня 4-й, буд. 387 кв. 269, Українськ, 94217",017 089 95 42,arkadiiredko@example.com
Жученко,Аарон,Пантелеймонович,Чоловіча,2011-08-28,Соціолог,Ізмаїл,"проспект Відважних, буд. 08 кв. 6, Берислав, 81367",074 687-51-44,venedykt21@example.org
Наливайко,Надія,Опанасівна,Жіноча,2005-01-23,Кур'єр,Сновськ,"провулок Соляний 2-й, буд. 517, Новий Розділ, 64138",624 53 58,venedykt03@example.com
Стельмах,Ростислав,Йосипович,Чоловіча,2019-01-23,Епідеміолог,Ірміно,"набережна Лиманчик 2-й Лінія 4-та, буд. 7, Білгород-Дністровський, 72681",+380 00 175-74-60,roksolana48@example.org
Ткаченко,Анастасія,Соломонівна,Жіноча,2013-12-17,Менеджер,Новгород-Сіверський,"парк Красних Зорь, буд. 53, Жидачів, 06973",+380 62 469 14 31,qbaran@example.org
Андрейко,Мирослав,Ааронович,Чоловіча,2003-03-29,Географ,Кремінна,"сквер Чапаєва, буд. 7, Лиман , 85453",+380 (89) 994-23-45,lesavdieienko@example.net
Шамрай,Дмитро,Владиславович,Чоловіча,2007-05-10,Ді-джей,Гірське,"узвіз Леваневського тупик, буд. 7 кв. 6, Буськ, 49706",039 891-33-10,dubynavalentyn@example.com
Онуфрієнко,Руслан,Макарович,Чоловіча,1994-08-05,Палеонтолог,Ніжин,"шосе Виноградний, буд. 1, Новогродівка, 37102",+380 (28) 722-10-48,rmamchur@example.net
Аронець,Пармен,Демидович,Чоловіча,1988-06-29,Детектив,Світловодськ,"провулок Санаторний, буд. 7, Сімферополь, 20703",+380 26 374-78-51,mykhailo59@example.com
Оробець,Амвросій,Вадимович,Чоловіча,2016-01-09,Слідчий,Дубровиця,"проспект Державіна, буд. 2 кв. 36, Суходільськ, 22834",086 553-27-35,derehusteodor@example.net
Філіпенко,Ярослав,Назарович,Чоловіча,1986-07-15,Нотаріус,Берестечко,"площа Запорізька, буд. 056 кв. 686, Глобине, 42875",070 029-45-04,wbaklan@example.org
Андрейко,Богуслава,Олександрівна,Жіноча,1977-07-29,Фізик,Федорівка,"шосе Польський узвіз, буд. 4 кв. 3, Лубни, 01849",+380 39 115 08 33,dzaichenko@example.org
Фоменко,Яків,Богданович,Чоловіча,1982-07-13,Антрополог,Чорнобиль,"шосе Шолохова, буд. 077 кв. 22, Вільнянськ, 86875",324 32 05,riaboshapkanadiia@example.org
Вдовиченко,Леонтій,Августинович,Чоловіча,2009-04-22,Біолог,Березань ,"узвіз Рєпіна, буд. 13, Золочів, 66086",073 393 98 99,taras22@example.com
Рябченко,Ігнат,Федорович,Чоловіча,2022-07-21,Випробувач,Дніпрорудне,"сквер Кощового отамана, буд. 43, Олександрія, 75180",+380 82 473 01 51,azarchornovil@example.com
Щербак,Левко,Мартинович,Чоловіча,2024-08-14,Клоун,Пустомити,"сквер Суворовська, буд. 3, Оріхів, 85443",928-85-91,xvertyporokh@example.net
Гайдай,Азар,Орестович,Чоловіча,1990-10-03,Електрослюсар,Заводське,"вулиця Студентський 5-й, буд. 502, Дрогобич, 32450",072 943-28-93,sviatoslavorlyk@example.org
Цюцюра,Михайлина,Орхипівна,Жіноча,2004-05-25,Головний меркшейдер,Золотоноша,"провулок Леонтовича, буд. 86 кв. 197, Рівне, 51316",+380 (34) 601-09-56,irenababarychenko@example.net
Черненко,Хома,Аврелійович,Чоловіча,1988-11-01,Історик,Зборів,"вулиця 18-та Лінія 6-й ст. Люстдорфської дороги, буд. 93, Прилуки, 08924",186 62 22,symonenkoprokhir@example.org
Тесля,Мартин,Венедиктович,Чоловіча,1978-12-02,Паралегал,Корюківка,"провулок Утьосова, буд. 556 кв. 247, Хуст, 04488",+380 (94) 470-99-77,iosypgerega@example.net
Чміль,Гліб,Геннадійович,Чоловіча,2019-05-07,Різноробочий,Дубляни,"узвіз Тираспольська, буд. 55, Радехів, 57066",041 946-44-70,illiababenko@example.com
Оліфіренко,Олена,Ааронівна,Жіноча,1979-03-06,Детектив,Голубівка,"площа Таїрова, буд. 9 кв. 53, Великі Мости, 12189",+380 (40) 695-83-85,zakhar19@example.com
Корж,Анастасія,Сергіївна,Жіноча,2006-05-10,Конструктор,Ічня,"вулиця ім. С.Ю. Вітте, буд. 535 кв. 0, Берислав, 43147",+380 (35) 675-26-67,alevtyn85@example.com
Худобʼяк,Пилип,Артемович,Чоловіча,1996-11-05,Дипломат,Чернігів,"узвіз Рівності, буд. 640, Белз, 24018",+380 37 529-05-62,hrytsenkohryhorii@example.org
Панчук,Веніямин,Геннадійович,Чоловіча,1978-06-18,Конструктор,Снятин,"провулок Учительський, буд. 300, Сторожинець, 43525",083 905-99-12,zorian18@example.net
Цісик,Марія,Венедиктівна,Жіноча,1992-08-16,Шериф,Люботин,"площа Верф’яний, буд. 9 кв. 75, Бахмут, 78984",908 55 16,arkadii96@example.com
Авдєєнко,Леон,Захарович,Чоловіча,1998-12-27,Зоолог,Міусинськ,"вулиця Садова 6-та, буд. 04, Баранівка, 73058",+380 84 878-22-35,havryliukleonid@example.com
Базилевич,Ярема,Аврелійович,Чоловіча,2005-08-24,Водій,Ковель,"узвіз Скляний 3-й, буд. 3, Бахмач, 29165",+380 67 732 43 39,zkhorishko@example.com
Єрмоленко,Варвара,Трохимівна,Жіноча,2007-05-10,Драматург,Приморськ (Україна),"шосе Моторний 3-й, буд. 55, Кропивницький, 63946",930 67 70,uonufriienko@example.com
Бакуменко,Галина,Євгенівна,Жіноча,1990-08-03,Геолог,Енергодар,"набережна Середня, буд. 58, Рогатин, 63543",+380 72 991 15 88,liudmylaprotsenko@example.com
Джунь,Михайло,Ярославович,Чоловіча,2000-09-15,Парфюмер,Бобровиця,"шосе Виноградний тупик, буд. 53 кв. 551, Новоукраїнка, 39291",+380 88 129-45-58,makarmishchenko@example.com
